Tamanho,Bubble Sort,Insertion Sort,Heap Sort,Merge Sort,Quick Sort,Radix Sort
688,19008,8246,18356,12175,11151,4770
689,18720,7948,18412,12196,10968,4822
690,19586,7890,18447,12215,10795,4692
691,19601,8382,18481,12242,10976,4836
692,19565,7668,18497,12261,10909,5028
693,19481,8376,18554,12281,10863,4850
694,19488,8252,18551,12301,10979,4810
695,19831,8154,18568,12323,11163,4818
696,19307,7850,18607,12341,10905,5056
697,19840,8360,18639,12368,11055,4924
698,19861,8124,18674,12385,10855,4886
699,19924,8438,18726,12403,10971,4846
700,20167,8274,18754,12424,11129,5040
701,19262,8656,18781,12443,11216,4906
702,19357,8150,18808,12471,11301,5006
703,18992,8314,18823,12485,11337,5014
704,20201,8064,18866,12499,11157,4880
705,19940,8200,18896,12528,11156,4934
706,19776,8298,18937,12550,11322,4988
707,20051,8660,18965,12568,11240,4948
708,19913,8294,18994,12588,11261,4956
709,19382,8178,19045,12610,11153,5010
710,20407,8484,19067,12629,11413,4732
711,20750,8366,19076,12650,11339,5166
712,20073,8862,19123,12675,11340,4984
713,19758,8092,19156,12697,11310,4990
714,20789,8542,19177,12714,11493,5188
715,20291,8690,19213,12738,11353,5052
716,20036,8326,19236,12758,11373,4868
717,21192,8590,19274,12776,11446,4922
718,20115,8778,19285,12798,11417,5264
719,21330,9154,19334,12817,11490,5176
720,20895,8284,19393,12840,11521,4896
721,21541,9194,19407,12861,11338,4998
722,21157,8908,19442,12881,11520,5004
723,20429,8754,19457,12897,11605,5204
724,20883,8990,19507,12921,11591,5018
725,20460,8678,19513,12935,11676,5220
726,20910,8808,19578,12963,11863,5082
727,21162,8880,19575,12982,11508,5234
